Unnamed: 0,frontUserName,frontUserAvatar,content,createTime,picList,commentReplyVO,memberLevel,appendCommentVO,star,itemId,color,size
15,Z****S,http://yanxuan.nosdn.127.net/e4f0b95e792e37ce0451d6546f4a9d63,太好穿了，非常贴合，塑型效果非常棒，立马再入两个！,1557063787911,[],,6,"{'id': 77831496, 'createTime': 1557064476114, 'content': '收到后立即又入了杏色和黑色各2件，是有多喜欢😘💕', 'picList': ['https://yanxuan.nosdn.127.net/1073c36bc6c4ca6bb313948d3e14e7a8.jpg'], 'commentReplyVO': None}",5,1616018,深杏色,85C
16,g****0,https://yanxuan.nosdn.127.net/45cace589ad551371ef2ec7e3e474f79.jpg,物流超快，昨儿晚上下单今天中午就到了，很满意～,1572063391022,['https://yanxuan.nosdn.127.net/a0e589c22d135390d972e24a734b9d36.jpg'],,5,,5,1616018,黑色,85C
17,f****e,https://yanxuan.nosdn.127.net/c37732371f6ed2cdc6f513a0cc74c0ec.jpg,买给老婆的，试了下料子很舒服，很合身，非常满意,1573098075495,"['https://yanxuan.nosdn.127.net/d1283005fced3e00565e6f66c8fd9f62.png', 'https://yanxuan.nosdn.127.net/78d5f48190d66574db1ae81423db69c2.png', 'https://yanxuan.nosdn.127.net/3aee24d4e98fb30a263b6891e673da2b.png']",,5,,5,1616018,黑色,80B
18,小****兽,https://yanxuan.nosdn.127.net/3c4b73235cffc18b7012323a92fc0087.jpg,"1、款式、手感不错，聚拢效果可以；
2、如图，材质容易吸尘，擦不掉；
3、适合秋冬季节，不透气；
4、给妈妈买的，她不太满意。",1569457884995,"['https://yanxuan.nosdn.127.net/d128e6ffbc9f3f2c1bec06730ec45889.jpg', 'https://yanxuan.nosdn.127.net/a002996bbe54301453387bcc15928526.jpg']",,5,,5,1616018,黑色,80B
19,何****秀,http://yanxuan.nosdn.127.net/19eb2b7a875024b14a509cfce6173143,有点小遗憾，买大了一个码，，手感蛮好的,1572865557481,['https://yanxuan.nosdn.127.net/f50f29ae00d29b66b196db778ff97b31.jpg'],,3,,5,1616018,深杏色,85C
20,红****,https://yanxuan.nosdn.127.net/cd329602fff740ade29d5d7a7c6c9816,偏小一码的，拍大一个码刚刚好，穿着舒适,1570092058793,['https://yanxuan.nosdn.127.net/71de7175168c6e36517e5cfe541f28b2.jpg'],,6,,5,1616018,黑色,80A
21,1****0,,看看还可以,1572779388469,['https://yanxuan.nosdn.127.net/469b6f00dd2fc846868ebb4da93fb7a6.jpg'],,2,,5,1616018,黑色,80C
22,k****,https://yanxuan.nosdn.127.net/fc09d2402076b2423b7e086a06c8099a.jpg,还行，有点空杯,1572622438073,['https://yanxuan.nosdn.127.net/6ade1758b3692ecdea4d8c026a831eb2.jpg'],,5,,4,1616018,黑色,75B
23,z****6,https://yanxuan.nosdn.127.net/3e6ab83d2250393e50b33b6db7b4e140.jpg,好好好,1572435441869,['https://yanxuan.nosdn.127.net/203fed71d83d49a603c411f16b916ba5.jpg'],,5,,5,1616018,黑色,85C
24,z****6,https://yanxuan.nosdn.127.net/3e6ab83d2250393e50b33b6db7b4e140.jpg,好好好,1572435420592,['https://yanxuan.nosdn.127.net/babf0783d679f51a6c0781c819083769.jpg'],,5,,5,1616018,深杏色,85C
25,杏****杏,https://yanxuan.nosdn.127.net/c033e4ad8e686b7421d59a7186b80858.jpg,物流很快服务态度很好，很喜欢，面料很舒适，,1571707363306,['https://yanxuan.nosdn.127.net/c63e46d3a0cffc55823d4852cd0f3b8b.jpg'],,4,,5,1616018,黑色,80C
26,杏****杏,https://yanxuan.nosdn.127.net/c033e4ad8e686b7421d59a7186b80858.jpg,物流很快服务态度很好很喜欢面料很舒服,1571707299675,['https://yanxuan.nosdn.127.net/f04030bcfbbe914ce9c50e069a11aed9.jpg'],,4,,5,1616018,黑色,85B
27,1****7,,品质和颜色都很好！值得！,1571225504859,['https://yanxuan.nosdn.127.net/851583001e030e867ca31d019b24d6f3.jpg'],,3,,5,1616018,深杏色,85C
28,1****7,,品质真不错，适合成年人！,1571225481898,['https://yanxuan.nosdn.127.net/d5ac2bf67e9b39c00bce273a9ad9d3e4.jpg'],,3,,5,1616018,黑色,85C
29,鸽****A,https://yanxuan.nosdn.127.net/967ef8ac2066c42d6f59d39587ea58e7,内衣很舒服。好评！,1571016997285,['https://yanxuan.nosdn.127.net/151d3bb68b7a28c61561afb41d075c40.jpg'],,4,,5,1616018,黑色,75B
30,l****r,https://yanxuan.nosdn.127.net/697d5c9f1a9a6e199840a39c8d48d70d.jpg,很好，舒服还有形。,1570792179469,['https://yanxuan.nosdn.127.net/4b951719aa2f1b90931efc641f357f7f.jpg'],,6,,5,1616018,黑色,85B
31,1****8,,下次再买个黑色的换着穿哦。,1569799722085,"['https://yanxuan.nosdn.127.net/379a64c374768244e423c20b83c9cf4e.jpg', 'https://yanxuan.nosdn.127.net/174e315a84e260c04d38063101682492.jpg', 'https://yanxuan.nosdn.127.net/91d7b5f3400e7a084e56b2ea10f5f1d8.jpg']",,5,,5,1616018,深杏色,85C
32,荆****鸟,http://yanxuan.nosdn.127.net/9c230132c2f764e49af7c8d13b1ec6ed,试了试，满意！,1569901268495,['https://yanxuan.nosdn.127.net/5d6094f12d044ade2994b81da330fe35.jpg'],,4,,5,1616018,深杏色,75B
33,1****1,,面料柔软丝滑，穿上也很舒服，吼吼吼,1568772446227,"['https://yanxuan.nosdn.127.net/23d5149101187eeb4c47aa244060f7ff.jpg', 'https://yanxuan.nosdn.127.net/93255604b9211d58091d9af0350a7f83.jpg']",,4,,5,1616018,深杏色,85C
34,m****7,,非常好，贴身，许久没买到如此舒适的内衣了，买了一件又一件,1559825467362,['https://yanxuan.nosdn.127.net/a23574e35e9fe108d6722a5c5436fd58.jpg'],,6,,5,1616018,深杏色,80C
35,怂****宝,https://yanxuan.nosdn.127.net/c522640e04cf44a8d680bee3756dcc10,给媳妇买的，不知道合适不，晚上看结果吧！,1568358214663,['https://yanxuan.nosdn.127.net/28b7cbba750f11577233bdbd32e7fbe1.jpg'],,6,,5,1616018,黑色,80B
36,1****8,,看到太多好评，买个试试看，结果出乎意料，,1567991851692,['https://yanxuan.nosdn.127.net/2e88d3a14f7f40f53c156edfdd5cbcba.jpg'],,6,,5,1616018,深杏色,85C
37,1****3,,很好，挺满意的，,1567824523790,"['https://yanxuan.nosdn.127.net/806e3a7f51c497a3815e9f34e6ec65aa.jpg', 'https://yanxuan.nosdn.127.net/48e6070bf169debda2e12a8f2b369ca1.jpg']",,3,,5,1616018,黑色,75B
38,車****,http://q.qlogo.cn/qqapp/101330628/1CC3582195098CEDE19E1BC49337B061/100,回购回购再回购,1567039771763,['https://yanxuan.nosdn.127.net/1138a8df8150741d94f16c046e66270f.jpg'],,4,,5,1616018,深杏色,80B
39,Y****芽,http://yanxuan.nosdn.127.net/542dac4a88343a0feb5100e464d65b2a,,1566914883330,['https://yanxuan.nosdn.127.net/e27078ce091359337b2a57511f3e8f6e.jpg'],,4,,5,1616018,深杏色,80C
40,美****瑕,http://yanxuan.nosdn.127.net/78a6638df23feef2ac825563ff5526cb,比较扁，有些压胸，不过手感确实一流。,1566802088574,['https://yanxuan.nosdn.127.net/e9bb2aef02627cf39a4029ec1beeb59b.jpg'],,5,,5,1616018,深杏色,80B
41,1****3,https://yanxuan.nosdn.127.net/f6309a827182c60a65909ff49544cef5.jpg,内衣是厚款💔💔💔🙄🙄🙄💔💔💔,1541947349530,['https://yanxuan.nosdn.127.net/1e2b9cfea55a62dbfe8f373437369330.jpg'],,4,,5,1616018,黑色,80A
42,w****8,,超级满意，简直就是量身定做。,1565586413822,['https://yanxuan.nosdn.127.net/9fac8c9e073edf1dd88e634078f03283.jpg'],,4,,5,1616018,深杏色,80A
43,1****9,https://yanxuan.nosdn.127.net/1b8e225918564552186b5e72bf8db34e.jpg,棒棒哒～质感质量很好,1565264459822,"['https://yanxuan.nosdn.127.net/237e75612d5438e4e861f6273d678413.jpg', 'https://yanxuan.nosdn.127.net/6dafbce80e407cba8cf664766e24caae.jpg']",,3,,5,1616018,黑色,75A
44,1****9,,舒适，满意！,1565228937260,['https://yanxuan.nosdn.127.net/a9595b23279388f188618aa8d5cc3d98.gif'],,6,,5,1616018,黑色,85B
45,1****5,,质量好，样式好，最主要穿戴效果真的好好。,1564616100200,['https://yanxuan.nosdn.127.net/3636777d1d8ac69eda5a66607adf61a3.jpg'],,4,,5,1616018,黑色,75B
46,1****8,,很舒服，非常好,1564489574286,['https://yanxuan.nosdn.127.net/6fd6704a1d584a5aef8290511c233c35.jpg'],,5,,5,1616018,黑色,85C
47,1****8,,质量很好，舒服,1564489538631,['https://yanxuan.nosdn.127.net/e10494b7930d5fe7c8b35fc135b5c3d0.jpg'],,5,,5,1616018,深杏色,85C
48,1****9,,质量好，穿着舒服，尺寸标准👍😊第2次😀买5颗星。,1555215532962,"['https://yanxuan.nosdn.127.net/9ffca8b9de00e0fc4de4245a3f1fe86d.jpg', 'https://yanxuan.nosdn.127.net/3c46fa848246f93c639ca1a903886e80.jpg']",,5,,5,1616018,黑色,80C
49,1****8,,一口气买了三个，没失望。,1563539017087,['https://yanxuan.nosdn.127.net/78044378e9d4da6fc1bdeee847c6da3c.jpg'],,4,,5,1616018,深杏色,80B
50,m****1,https://yanxuan.nosdn.127.net/7ab1df8e9a41874512599e54022ac595.jpg,质量很好，码小了点，需要的可选大一码,1561073094800,['https://yanxuan.nosdn.127.net/b86291091c46d08f5b5aee719923148a.jpg'],,6,,5,1616018,深杏色,80A
51,甜****鱼,https://yanxuan.nosdn.127.net/80d8d4ceb21f26b6266b0f6708aa1ce8.jpg,还不错。内衣质量确实很好。粉丝节购买也很划算。这个内衣聚拢效果是很棒的，不输给一线大牌的黛安芬之类的内衣。,1555082067361,['https://yanxuan.nosdn.127.net/ddf21b2d9bb5473d2fad4d22aa35cb2a.gif'],,4,,5,1616018,深杏色,80B
52,苏****,https://yanxuan.nosdn.127.net/cdc8ca70081268eddf952e3054f2ea18.jpg,果然双倍的价格品质确实不一样哦。比之前买的99款更贴身和收乳。么么哒,1539489835441,['https://yanxuan.nosdn.127.net/ea19699403093c973ebd7ae0545f335c.jpg'],,5,,5,1616018,深杏色,75C
53,1****8,,产品刚收到，尺码很合适，愉快的购物体验。,1562814865476,['https://yanxuan.nosdn.127.net/f199c0ae9b926df97a98b338e46f7aad.jpg'],,3,,5,1616018,黑色,80B
54,1****7,https://yanxuan.nosdn.127.net/02e4035e2b777ad0b81379ff63015ee7.jpg,亲肤，聚拢效果非常棒,1562825790473,['https://yanxuan.nosdn.127.net/147c18b67a893d3634032a76915d9793.jpg'],,4,,5,1616018,深杏色,80B
55,W****r,https://yanxuan.nosdn.127.net/f811adbf6c613e3c242f75a87022c27a.jpg,穿着舒适，就像穿着一件内衣背心一样，赞👍,1560407074585,['https://yanxuan.nosdn.127.net/28f6387cdcf203bc0119caadb1e99c52.jpg'],,4,,5,1616018,深杏色,80C
56,1****4,,非常舒服，开心,1562588229622,['https://yanxuan.nosdn.127.net/9d1e68bbc5134724de4b8a8052f6d158.jpg'],,5,,5,1616018,深杏色,85C
57,1****4,,非常舒服～棒,1562588211248,['https://yanxuan.nosdn.127.net/48a4c0e88a0520ab136bd3687eaff2c9.jpg'],,5,,5,1616018,黑色,85C
58,m****0,,第二次购买，塑型和面料柔软度都比优衣库好！,1559612762158,['https://yanxuan.nosdn.127.net/38249d7d056b46cc2d7b7d2a9f7187a3.jpg'],,3,,5,1616018,黑色,85C
59,大****,https://yanxuan.nosdn.127.net/fa85a1dffa81ac46e6adbc623bac74c0,收到,1561705655447,['https://yanxuan.nosdn.127.net/678a8a7799863139b01a5e8f8b52cdf3.jpg'],,6,,5,1616018,黑色,80B
60,问****,https://yanxuan.nosdn.127.net/63f60d6dd8adff6e42a7c32eaeafa981,,1561534415135,['https://yanxuan.nosdn.127.net/61aa4a734dad862d918fd5d0b3ad9ba5.jpg'],,3,,5,1616018,深杏色,85C
61,于****,https://yanxuan.nosdn.127.net/fe6e757b9503179459da11739443f63e.jpg,买了第三个了,1561374472401,['https://yanxuan.nosdn.127.net/87a1c7ede942bd4d25ac6753df6c36c7.jpg'],,5,,5,1616018,深杏色,85C
62,马****彦,https://yanxuan.nosdn.127.net/950f8b92731d1a4e9b4461c67341d4a9,一直很关注胸衣，因为自己大胸，每次都要去实体店试了。这次看严选上可以退换，抱着试一下的心态，最大号可以穿。很喜欢，等一段时间看看效果,1560826363095,['https://yanxuan.nosdn.127.net/ce946ed0d58906652e5b51ef4c14f9a4.jpg'],,4,,5,1616018,深杏色,85C
63,W****r,https://yanxuan.nosdn.127.net/f811adbf6c613e3c242f75a87022c27a.jpg,连续四天连着买，穿的服帖真棒👍,1560520664247,['https://yanxuan.nosdn.127.net/f12f853fb921b25d492d571d098f0cd9.jpg'],,4,,5,1616018,黑色,80C
64,古****涯,https://yanxuan.nosdn.127.net/a4125ba650287b53ec089381ff0afa55,都收到啦，很开心，衣裤收到都合适，满意！,1560762315821,"['https://yanxuan.nosdn.127.net/2f7ae16b281dbc4f4cb7707d7a5b9c81.jpg', 'https://yanxuan.nosdn.127.net/3bb6ec9a407fd7f08ad4b6df6b838da9.jpg', 'https://yanxuan.nosdn.127.net/fa4deb93079e01a624fecc320d45fb14.jpg', 'https://yanxuan.nosdn.127.net/03d3b77ddaa3302a2fdab148ca2f904d.jpg', 'https://yanxuan.nosdn.127.net/c39c9b1fa79811b1e9fb72e8081ad830.jpg']",,5,,5,1616018,深杏色,75B
65,m****0,,第三次购买，确实不错,1560869683745,['https://yanxuan.nosdn.127.net/ed6b20352927608b6ab61ff9c8ae05c1.jpg'],,5,,5,1616018,黑色,80B
66,t****x,,客观的说，真的是我穿过的最舒服的内衣咯。,1558539823589,"['https://yanxuan.nosdn.127.net/665e8c9f4db38f25dc7fa0728d04feae.jpg', 'https://yanxuan.nosdn.127.net/e86508e4460eeeaf97ab4bfa8d27fa63.jpg', 'https://yanxuan.nosdn.127.net/711b2793b7ed56ae47972a6d39e31861.jpg']",,5,,5,1616018,黑色,75B
67,王****,http://yanxuan.nosdn.127.net/279bd19a66a1bbe5add0a0be8540011c,这个不太理想，码有点小，穿着紧不太舒服，聚拢效果不错，做工真心不错,1546228386551,"['https://yanxuan.nosdn.127.net/47b0f57c9331617c4a8e8bded09f4cae.jpg', 'https://yanxuan.nosdn.127.net/eaa7586e4ca63d90865625e3d37ae04b.jpg', 'https://yanxuan.nosdn.127.net/a0847331ffbe86bf0cfd2bd84f4b5cad.jpg']",,3,,5,1616018,深杏色,80B
68,程****乐,https://yanxuan.nosdn.127.net/d3d20af5243eff02f56213675475843d,舒服好穿，推荐,1560781942260,['https://yanxuan.nosdn.127.net/8eb5064640f30c8590ff9dc5ed080855.jpg'],,5,,5,1616018,深杏色,75C
69,1****1,,喜欢,1560778046071,['https://yanxuan.nosdn.127.net/c3150ce4942313bb36ca93b5cf1ef929.jpg'],,4,,5,1616018,黑色,75C
70,A****）,https://yanxuan.nosdn.127.net/090cfa843a2e14c5c5a6648aabe3faf4,蛮好,1560675258910,"['https://yanxuan.nosdn.127.net/b8f50c38d63d6a674c361301e4ac6657.jpg', 'https://yanxuan.nosdn.127.net/190abc2536bce52afb44d74fc8ee8acd.jpg']",,5,,5,1616018,黑色,80C
71,于****,https://yanxuan.nosdn.127.net/fe6e757b9503179459da11739443f63e.jpg,第二件了，满意,1560169548038,['https://yanxuan.nosdn.127.net/45bba5d5f75ac63e3ad75cde48b02df3.jpg'],,5,,5,1616018,深杏色,85C
72,1****2,,,1560079725001,['https://yanxuan.nosdn.127.net/3d8ea6902281d8d6bee5e5c519d6a865.jpg'],,5,,5,1616018,深杏色,75B
73,1****1,,好,1559959336260,['https://yanxuan.nosdn.127.net/bd7c1304d99a3f07b5602c694a6c932b.jpg'],,5,,5,1616018,深杏色,75A
74,1****3,https://yanxuan.nosdn.127.net/a2100d491f638ec277d80fc771815a57.jpg,戴上合适，155厘米47公斤,1559884914909,['https://yanxuan.nosdn.127.net/65a05dd2dc4a2bfc12c5fbc0f4f168c0.jpg'],,6,"{'id': 82771326, 'createTime': 1560219563930, 'content': '带上舒服', 'picList': [], 'commentReplyVO': None}",5,1616018,深杏色,75A
75,m****1,,严选的东西就是好，回购的,1559538847341,['https://yanxuan.nosdn.127.net/1deaab41ef6040293f1fd3a1eb894417.jpg'],,5,,5,1616018,深杏色,85B
76,1****3,https://yanxuan.nosdn.127.net/f6309a827182c60a65909ff49544cef5.jpg,回购的，东西很好，期待更多、更好的选择。,1558276206998,['https://yanxuan.nosdn.127.net/0c455c61a495e4f7fc75262ac717317a.jpg'],,4,,5,1616018,深杏色,85B
77,有****米,https://yanxuan.nosdn.127.net/a8095d5cd8b84f00a155b842147da2a9.jpg,收到包装很好,1559452918952,['https://yanxuan.nosdn.127.net/9713d0bbdd3ead913a5eac6c9729a137.jpg'],,5,,5,1616018,黑色,80B
78,1****3,https://yanxuan.nosdn.127.net/55d27d7868ed53c34f6867e1e3d486e4.jpg,很好穿，会回购的,1558704075244,['https://yanxuan.nosdn.127.net/48a22ecd712025469a73efca32635df9.jpg'],,6,,5,1616018,黑色,85C
79,t****x,,非常喜欢。没错，非常！,1558599945304,"['https://yanxuan.nosdn.127.net/517886ac1a515f5887585fde82386881.jpg', 'https://yanxuan.nosdn.127.net/9c9d0391c79f990e9772a48da43899dd.jpg', 'https://yanxuan.nosdn.127.net/84a55cda84002371ae8bd9af4533c4f9.jpg']",,5,,5,1616018,深杏色,75B
80,向****葵,http://yanxuan.nosdn.127.net/b62423b9bdf4b0de03d2cde817e1849e,不错试穿了一下很好，就是有点小贵,1558176439023,['https://yanxuan.nosdn.127.net/d5afb4507dfe3e3c547ebc4b15eea511.jpg'],,5,,5,1616018,深杏色,75A
81,杨****,https://yanxuan.nosdn.127.net/9eaecf516dbd5ceaf8b2966fee5d3406,非常满意！非常满意！非常满意！尺码很合身,1557492559304,"['https://yanxuan.nosdn.127.net/c51f935f9ca0727fb0d088f90967a001.jpg', 'https://yanxuan.nosdn.127.net/9b67a5fb6cf3d3875260ef4278b2c48c.jpg']",,5,,5,1616018,黑色,75C
82,1****0,,,1557502533418,['https://yanxuan.nosdn.127.net/6e8af0503cb305fd8acd9db6488f2038.jpg'],,4,,5,1616018,黑色,85B
83,w****n,https://yanxuan.nosdn.127.net/f9dfd53e080298c63eea0f1d54bd7d5f,第二件了！聚拢效果好！,1556790148244,['https://yanxuan.nosdn.127.net/da9d81c396a749e0afadda5a9ee46c85.jpg'],,5,,5,1616018,深杏色,75B
84,精****计,https://yanxuan.nosdn.127.net/d471750d37f1f8c546765e33745f5c60,喜欢严选，快递太给力了，试穿过了很舒服，面料柔软，下次再来,1555372775508,[],,4,"{'id': 76183059, 'createTime': 1555724866509, 'content': '一点都不勒，很舒服，', 'picList': ['https://yanxuan.nosdn.127.net/de2f3596bcf7b4f754cad8e661267480.jpg', 'https://yanxuan.nosdn.127.net/14b668e58df75832bf8f0e4e1d73f416.jpg', 'https://yanxuan.nosdn.127.net/28ea2fad5cbb522a7b6a26ac1025d076.jpg'], 'commentReplyVO': None}",5,1616018,深杏色,75A
85,w****n,https://yanxuan.nosdn.127.net/f9dfd53e080298c63eea0f1d54bd7d5f,穿着很舒服，不错哈！,1555540886733,['https://yanxuan.nosdn.127.net/517787759556b7771858446309088767.jpg'],,5,,5,1616018,深杏色,75B
86,1****9,,颜色好看，号码标准，穿的正合适，开心。5颗星,1554605858159,"['https://yanxuan.nosdn.127.net/4624c0e5db0cf8727eb338ac56e2d7a3.jpg', 'https://yanxuan.nosdn.127.net/55ecec7fc08035c94508f66a5f2f9e48.jpg']",,5,,5,1616018,深杏色,80C
87,朕****了,http://yanxuan.nosdn.127.net/0fece692b6db0ccd2dfbc07c2e0914e3,挺好的，两个颜色都买了,1554679382346,['https://yanxuan.nosdn.127.net/1b4e0fe91ec8a35e8ca45f146b3d5986.jpg'],,4,,5,1616018,深杏色,85C
88,燕****,https://yanxuan.nosdn.127.net/b6f2a86b625fee5faee397e3fac4f460,非常好哦，第三次回购了,1554634600851,['https://yanxuan.nosdn.127.net/71d982306d9296f9843e31374c4ebcdd.jpg'],,6,,5,1616018,深杏色,75B
89,1****9,,非常不错,1552729822976,['https://yanxuan.nosdn.127.net/09ece2726b0e8a5e29b9d45731f0f3fc.jpg'],,3,,5,1616018,深杏色,75B
90,1****9,,不错，舒适。,1552686868944,[],,5,"{'id': 73248780, 'createTime': 1552744559567, 'content': '', 'picList': ['https://yanxuan.nosdn.127.net/c5c66e1e30392d29e04d04a307417008.jpg', 'https://yanxuan.nosdn.127.net/fa93628c75271a78b1d6e0bad1c4e164.jpg'], 'commentReplyVO': None}",5,1616018,深杏色,75B
91,1****5,,"神速度物流，京东快递员牛。
商家给力。",1551087256227,['https://yanxuan.nosdn.127.net/8af415cedc0f07d384bd88320f1a9494.jpg'],,5,,5,1616018,深杏色,85C
92,1****5,,质量不用说，真的很舒服，没有一点紧绷感，,1551603032527,['https://yanxuan.nosdn.127.net/13f038d17f5d2bc81b01c1f352a4b54f.jpg'],,4,,5,1616018,深杏色,75B
93,9****0,https://yanxuan.nosdn.127.net/19b1286120f66a82ea45da2fbcaaa796.jpg,好穿，也很合适,1551269570343,['https://yanxuan.nosdn.127.net/7361f158f0df67cf8b1e294cd98571fd.jpg'],,5,,5,1616018,深杏色,80A
94,1****6,,好穿，手感好，有型,1550308990455,['https://yanxuan.nosdn.127.net/2480e65f7dca03a5b2207efa122cd1e8.jpg'],,4,,5,1616018,深杏色,75B
95,x****n,https://yanxuan.nosdn.127.net/a989ca0756521435d418188ee51686be,hoho,1550144979097,['https://yanxuan.nosdn.127.net/d2d9b1fb67a93d441bbf0bd24192d4f0.jpg'],,4,,5,1616018,黑色,85B
96,蔡****惠,http://yanxuan.nosdn.127.net/f323e09c54cade6ec1c54970aaea995a,非常细腻舒适，一如既往的爱严选对东西，双十一快递速度也是一如既往的快。,1542270372710,['https://yanxuan.nosdn.127.net/52cb8bc9a8378f97ba73362db8e991ed.jpg'],,4,,5,1616018,深杏色,80A
97,1****7,,还不错,1548502958208,"['https://yanxuan.nosdn.127.net/c63f486c52e34836d42d4479cbbe15da.jpg', 'https://yanxuan.nosdn.127.net/b521044e529800ff5337aff4fed12af1.jpg', 'https://yanxuan.nosdn.127.net/b39d40acdb68977c7a1b1c6f2d6257f9.jpg']",,3,,5,1616018,黑色,80B
