frontUserName,content,memberLevel,star,itemId,cup,color
1****1,好,5,5,1616018,75A,深杏色
1****3,戴上合适，155厘米47公斤,6,5,1616018,75A,深杏色
m****1,严选的东西就是好，回购的,5,5,1616018,85B,深杏色
1****3,回购的，东西很好，期待更多、更好的选择。,4,5,1616018,85B,深杏色
有****米,收到包装很好,5,5,1616018,80B,黑色
1****3,很好穿，会回购的,6,5,1616018,85C,黑色
t****x,非常喜欢。没错，非常！,5,5,1616018,75B,深杏色
向****葵,不错试穿了一下很好，就是有点小贵,5,5,1616018,75A,深杏色
杨****,非常满意！非常满意！非常满意！尺码很合身,5,5,1616018,75C,黑色
1****0,,4,5,1616018,85B,黑色
w****n,第二件了！聚拢效果好！,5,5,1616018,75B,深杏色
精****计,喜欢严选，快递太给力了，试穿过了很舒服，面料柔软，下次再来,4,5,1616018,75A,深杏色
w****n,穿着很舒服，不错哈！,5,5,1616018,75B,深杏色
1****9,颜色好看，号码标准，穿的正合适，开心。5颗星,5,5,1616018,80C,深杏色
朕****了,挺好的，两个颜色都买了,4,5,1616018,85C,深杏色
燕****,非常好哦，第三次回购了,6,5,1616018,75B,深杏色
1****9,非常不错,3,5,1616018,75B,深杏色
1****9,不错，舒适。,5,5,1616018,75B,深杏色
1****5,"神速度物流，京东快递员牛。
商家给力。",5,5,1616018,85C,深杏色
1****5,质量不用说，真的很舒服，没有一点紧绷感，,4,5,1616018,75B,深杏色
9****0,好穿，也很合适,5,5,1616018,80A,深杏色
1****6,好穿，手感好，有型,4,5,1616018,75B,深杏色
x****n,hoho,4,5,1616018,85B,黑色
蔡****惠,非常细腻舒适，一如既往的爱严选对东西，双十一快递速度也是一如既往的快。,4,5,1616018,80A,深杏色
1****7,还不错,3,5,1616018,80B,黑色
海****心,不错不错不错,6,5,1616018,75A,黑色
1****5,笫二次买了很不错。,5,5,1616018,80B,黑色
g****r,看评价很好，严选的东西一直有保证,4,5,1616018,80B,黑色
A****5,很柔软,6,5,1616018,85B,黑色
L****n,舒适，不错的,5,5,1616018,80B,深杏色
m****3,,5,5,1616018,80B,深杏色
淸****,"质量还不错，就是自己其实
应该买薄款",3,5,1616018,80B,黑色
j****t,罩杯有着厚的那种哈哈哈,3,5,1616018,85B,黑色
汤****,舒适，准备再下单回购,4,5,1616018,75B,深杏色
汐****,说实话，不大贴合胸型,4,3,1616018,80B,黑色
A****a,每次差价那么大，心塞,4,5,1616018,75B,黑色
m****0,质量非常好，手感肤感舒服！,5,5,1616018,80C,深杏色
培****煮,还好还好哈还好还好哈还好还好哈还好还好哈还好还好哈,3,5,1616018,80B,黑色
n****6,不错哦。照着提供的尺码表买的合适。穿着舒服，不会移位也不会空杯，很好。,4,5,1616018,75B,黑色
紫****铃,比有钢圈的舒服太多啦！但是能够很好的支撑。面料柔软舒适，聚拢效果很好。,5,5,1616018,80B,黑色
P****s,买的第二件内衣了，终于买到合适的了，有活动时还会继续买,4,5,1616018,75A,深杏色
f****a,聚拢效果明显,4,5,1616018,75C,深杏色
1****6,胸围是有点偏小，挺紧的准备用扩展片吧，这款属于调整型文胸，穿上效果很好，满意。,3,5,1616018,75C,深杏色
1****2,严选，值得信赖的，产品质量有保障，售后服务好，现在很多东西都是严选买的，很满意！,6,5,1616018,75B,黑色
奕****n,很贴身很舒服😌 怎么说呢，性价比超高，打算再买，感觉自己深度入坑 但又很开心,3,5,1616018,80C,深杏色
贤****,太舒服了，感觉就像没穿衣服，看的评价买的，选了比平时大一号的，但是穿上有点宽松，建议还是按平时穿的尺码来买！,3,5,1616018,80B,黑色
m****1,还可以，应该是冬天穿可以。以前买过薄的那款，挺好的。舒适度可以，总之不错,4,5,1616018,85C,深杏色
1****9,非常满意！看上去很好，手感也非常好，很丝滑，等清洗干净穿了之后再来追评。,4,5,1616018,75C,深杏色
好****人,质量挺好 塑形不错 看了评价买了80 平时都是75 如果罩杯厚度再薄一些会更好,3,5,1616018,80C,深杏色
m****9,质量很好，很软，型也好，不过希望能出70的尺寸，让我们瘦子也能穿，75真的大只能退掉了,3,5,1616018,75B,黑色
1****0,美美哒！到货马上试穿了一下面料很舒服，也合身第一次在严选购物下次继续会光顾,3,5,1616018,75B,深杏色
1****0,这个必须好评，买了几次妹子，这次最合适了，胸部收的太漂亮了，生完小孩后明显下垂，只能穿这种了，特别满意,5,5,1616018,75B,黑色
o****o,没有肤色了没有😭，很舒服，虽然还是有些空杯（胸小找谁说理去。。。。）但是已经很久没有买到过这么舒适的内衣了。强烈要求肤色补货！！,6,5,1616018,80A,黑色
m****4,第二次买了，一次尺寸买错了，要买大一号的。聚拢效果很好很满意，也没有钢圈的不舒服,4,5,1616018,80C,黑色
m****4,第二次买了，一次尺寸买错了，要买大一号的。聚拢效果很好很满意，也没有钢圈的不舒服,4,5,1616018,80C,深杏色
1****0,一如严选一贯的品质……不仅不会失望，总是给你惊喜……面料太舒服了,5,5,1616018,80B,深杏色
1****6,已经囤货好几个了，真心好用，包裹的效果特别好，就是稍许厚了些，夏天用估计会闷热。,5,5,1616018,75B,黑色
鱼****果,不是很舒服呢，聚拢的有点儿难受,5,5,1616018,80A,黑色
1****8,还没有穿，但是感觉这个衣服挺紧的，应该是偏小看之前评价也是偏小。,6,5,1616018,80C,黑色
唐****艳,买了一个试了一下，聚拢效果特别好，穿起来也舒服，毫不犹豫的再买一件另外的颜色,3,5,1616018,75C,深杏色
Z****S,之前买了一个，拿到后立即回购四个，可见多么好！穿过这个旧的都可以扔了！,6,5,1616018,85C,深杏色
1****8,这款内衣不错，上次买没我的码买大了一码这次终于买到合适的了,5,5,1616018,75A,深杏色
张****摆,罩杯有点外翘，挤一下,5,5,1616018,85B,黑色
1****2,严选，品质保证，性价比高，服务快，很满意的，一入严选深似海，值得的！！！,6,5,1616018,85C,黑色
复****柔,"做工非常好，全新原装机，非常喜欢，G的CPU果然是快。,没想到，严选无条件给换啦，呵呵",6,5,1616018,75B,黑色
蝶****花,是我穿过的最舒服的文胸，聚拢效果好，不空杯，弹性好，这个颜色很有格调，准备再入手一件。,5,5,1616018,85B,深杏色
蝶****花,是我穿过的最舒服的文胸，聚拢效果好，不空杯，弹性好，准备再入手一件。,5,5,1616018,85B,黑色
徐****年,商品质量非常好 揉揉的 软软的 家里人很喜欢 感谢严选 下次还会回购的 也会推荐朋友购买,6,5,1616018,80A,深杏色
1****0,多次购买了，喜欢喜欢，一直相信严选，C杯是薄的，AB是厚的，买的时候看好了,6,5,1616018,85C,黑色
1****0,多次购买了，喜欢喜欢，一直相信严选，C杯是薄的，AB是厚的，买的时候看好了,6,5,1616018,85C,深杏色
B****n,内衣尺码合适，无钢圈设计很好的保护了身体，很舒服，拍在购物车坐等降价再入手，哈哈哈,4,5,1616018,85C,深杏色
1****4,"平时75c,看评论选了80c，还是应该按照平时码买的，有点大。料子不错叩紧点能穿",5,5,1616018,80C,深杏色
1****6,确实很聚拢，也不厚…平时穿80B、85B（80B居多）这次买的85B，很合适。,5,5,1616018,85B,黑色
1****6,确实很聚拢，也不厚…平时穿80B、85B（80B居多）这次买的85B，很合适。,5,5,1616018,85B,深杏色
C****藝,下水后有一股刺鼻的气味，像似胶烧焦后的气味，实在太难受了，试问这样能穿在身上吗？我也算是严选忠诚粉了，这次真让人失望了,3,2,1616018,75A,黑色
1****7,质量不错，唯一的遗憾是鞋子偏瘦,3,5,1616018,75A,黑色
1****7,买了个黑色的，洗了两遍了，文胸还是有点气味的，晾一段时间再用,4,5,1616018,80C,黑色
z****3,买贵了，买贵了买贵了，买贵了买贵了买贵了，哭了,4,3,1616018,80C,黑色
1****6,这个真的实在是太舒服了，把我以前的都不要了，希望能再搞活动，还要多买几个,5,5,1616018,80C,深杏色
美****,睡衣聚拢效果很好，就是有点厚，夏天穿着会有点热，若后围弄成透气那种就完美了,4,5,1616018,75A,深杏色
m****1,超级舒服一件内衣，聚拢效果也好，再买一件黑色的。省钱了不用再去买大品牌的内衣了,6,5,1616018,80B,深杏色
z****3,价格跳水，哭了，我的人民币，什么使用优惠券不适用保价，垃圾,4,3,1616018,80B,深杏色
海****,穿上很舒服，可能上身有点胖，有点紧，穿穿估计就好了。整体不错，还会再买。,5,5,1616018,75B,深杏色
m****0,之前买了2条，现在买了3条，很好穿，就认定它了，无钢圈。舒服,5,5,1616018,75C,黑色
m****0,之前买了2条，现在买了3条，很好穿，就认定它了，无钢圈。舒服,5,5,1616018,75C,深杏色
d****9,降价了，补仓囤货,5,5,1616018,85C,深杏色
冷****,代人购入，反馈: 真厚~~，挺聚拢的，肩带还是会滑落，更适合冬季，夏天会很热,5,4,1616018,85B,深杏色
m****8,第一次尝试无钢圈内衣、效果太好了、比之前买的200多的都要好、推荐！,4,5,1616018,75C,深杏色
静****,超赞超赞，手感非常好。刚好在优衣库买的同类型，品质没有严选好，真的。以后要经常光顾严选。,4,5,1616018,80C,深杏色
袁****,品质很好，有大牌风范，就是尺码要选大一码的才行。,5,5,1616018,85C,深杏色
1****5,这款内衣的聚拢效果比之前在严选买的另外一款效果好很多很多，所以买完黑色我又回购了裸色,6,5,1616018,85B,深杏色
1****5,不错，质量很好，很舒服，大小也合适，就是价格变化挺大，买了就涨价了，等下次降价再买一件,5,5,1616018,75B,黑色
1****0,文胸聚拢性很好，材质很柔软，最重要的是没有压迫感，洗后也没变形。又回购了一件浅色的。,6,5,1616018,80C,黑色
1****5,抱着试一试的心态买的，严选没有让人失望啊，很棒！,2,5,1616018,75B,黑色
Z****S,之前买了一个杏色，拿到后立即回购四个，杏色黑色各两个，可见多么好！旧的都可以扔了！,6,5,1616018,85C,黑色
1****0,前前后后买了四个，高消耗品呢，质量真心不错，买买买模式开启,6,5,1616018,85C,深杏色
一****,非常好穿，超出预期，聚拢效果特别赞，还能收副乳，厉害了，准备再入一件,6,5,1616018,80C,深杏色
琦****,系统默认好评,5,2,1616018,80B,黑色
1****4,整体还可以的，质量还行，不过有点空杯，可能码数没选好,4,5,1616018,75A,黑色
1****3,试穿了一下，还不错。比在优衣库买的同价位无钢圈内衣塑形效果好，比较舒适。用一段时间再来评价！,5,4,1616018,85B,深杏色
1****9,对于我来说这个有些厚，我喜欢那种薄一些的，只能冬天穿了,4,5,1616018,75B,黑色
袁****,尺码比一般的品牌要小一号，所以购买时要选一码的,5,5,1616018,80B,深杏色
1****0,自己穿了觉得好，推荐给同事，代她买的，她说挺好的,5,5,1616018,75B,深杏色
w****0,选C杯有点点空，B杯又是厚型的。很舒服，又有聚拢调整型的效果，很棒！又追加了黑色的,6,5,1616018,85C,深杏色
遇****,没有人家评价的那么好，懒得退了,5,5,1616018,80B,黑色
c****u,这次下胸围买大了一码，仍然略紧。很厚，聚拢效果倒还好。,4,3,1616018,80B,深杏色
m****4,回头客！很满意，现在已经超爱上网易了，包装好，质量好，服务好！😄,6,5,1616018,80A,黑色
1****8,内衣穿着真心不错，很舒服，要是多点颜色就更好了，可以多选几套换着穿,3,5,1616018,75A,深杏色
1****0,内衣质量很好，穿上聚拢效果不错，很显胸型，很满意！,3,5,1616018,85C,黑色
棉****糖,穿着很舒适但是没想到穿一次就起边了 看着好像是胶水粘接的,3,2,1616018,85C,黑色
1****8,买了两次了两点颜色，整体的型特别收，穿着比较舒服,4,5,1616018,75C,黑色
1****7,包裹不是很好,3,5,1616018,85C,深杏色
王****静,颜色略显老气，材质还是不错的，不适合天气热时穿，适合胖美人，收拢效果不错,5,5,1616018,85C,深杏色
l****2,买过黑色，好穿，再来一个颜色，舒服好穿，聚拢效果好,5,5,1616018,75C,深杏色
J****H,打开包装味道很大，类似油漆味。另外是带垫高的，事先没了解～整体而言，还行吧，洗的时候泡沫难去除。希望网易坚持初心，毕竟我上次退了一次，这次不好意思退了而已,5,5,1616018,85B,黑色
1****7,非常好呢，由于胸小，买不到合适的，肩带不下滑是最棒的，哈哈,3,5,1616018,80B,深杏色
哎****泡,我一般都不评论  但我这次真忍不住想说  太TM好穿了吧  这是内衣？！,3,5,1616018,75C,深杏色
1****1,尺寸确实比正常小一码，其他很棒，太舒服了，再下单一个,4,5,1616018,75C,深杏色
m****0,没注意，原来 B杯是厚款，胸更大了，不太适合。,5,5,1616018,80B,深杏色
1****0,严选的品质就是好   这款文胸很喜欢  跟商品介绍完全符合  刚买了款深杏色的  再加买一黑色的去,2,5,1616018,80A,深杏色
n****d,尺码偏小，换货了。,5,5,1616018,75B,深杏色
晚****,不错不错不错，质量很好，严选忠实粉丝，买了超多东西，都特别好，以后还会继续购买，推荐好多好多朋友买了，希望以后不要让老客户失望,6,5,1616018,85B,黑色
K****3,就是感觉有点硬，但是质量很好古急妆顾,6,5,1616018,75C,黑色
拍****子,"东西质量不错，样式也好，有弹力，给下面的MM做个参考，买小了，再买两件,真是很值得哦 什么都很好",6,5,1616018,75B,深杏色
水****,咨询客服后买了大一码，穿起来确实舒适包容性很好，准备再购黑色的。75c，买的是80c合适，供参考。,4,5,1616018,80C,深杏色
1****8,"169买的，刚收到货就降价60,有点黑",4,3,1616018,75B,深杏色
1****5,好大一个箱子送来的，严选的确做的非常仔细,4,5,1616018,80B,黑色
颜****红,不好意思买了三件穿，这个B杯可以厚度再稍薄点就更完美了,5,5,1616018,80B,深杏色
m****1,网易严选承包了家人的所有内衣、袜子和日用品，这次试着买了羊毛衫和T恤，同样也没有让我失望，款式中规中矩，材质亲肤柔软，喜欢！,4,5,1616018,75C,深杏色
1****8,尺码准确，面料质量好，不错的一次购物，下次会再光顾,2,5,1616018,80B,黑色
m****3,太太太好穿了，收副乳很好，就是有点厚，夏天穿太热,3,5,1616018,80A,黑色
m****3,太太太好穿了，收副乳很好，就是有点厚，夏天穿太热,3,5,1616018,80A,深杏色
1****4,第二次回购。很好穿，优衣库跟这个不是一个档次的。缺点就是颜色太少，希望改进。,4,5,1616018,75A,黑色
谜****,不错，罩杯摸起来挺厚实，穿上没有厚实的感觉，聚拢效果不错,3,5,1616018,85B,黑色
Y****g,试穿了，很柔软，布料也很好，很舒服，就是不怎么遮副乳,5,5,1616018,75C,深杏色
1****6,入了严选，没有就逛逛觉得有用买买买，,2,5,1616018,85C,黑色
h****a,质量很好，码子有点偏小，已退货。,5,5,1616018,85C,黑色
1****7,非常好👍，如果有配套内裤就完美了，很舒适，做工也好，穿着外形好看也不勒人,4,5,1616018,75C,深杏色
g****0,双十一买的太多，漏发了，跟客服沟通后再补发给我一个，严选的服务真的不错～,5,5,1616018,85C,深杏色
h****1,非常满意，穿着舒适度很好，建议买大一号。,2,5,1616018,85C,黑色
1****0,一直信赖严选，东西不错，承包了我一年的内衣，哈哈,6,5,1616018,85C,深杏色
1****9,出乎我的意料，穿的效果还不错，比较聚拢。,3,5,1616018,75B,黑色
程****9,第二次回购黑色的，非常满意，搞活动买的,3,5,1616018,80B,黑色
1****0,喜欢喜欢，一直相信严选，希望下次活动多多的,6,5,1616018,85C,深杏色
1****0,喜欢喜欢，一直相信严选，希望下次活动多多的,6,5,1616018,85C,深杏色
卜****霞,根本就不需要买大一码，换了75A的刚刚好,3,5,1616018,75B,深杏色
b****n,第一次试穿，大小合适，舒服情况要看长期情况,4,5,1616018,80A,黑色
尧****,黑色掉色严重，买了两件一黑一肉色，放在清水里浸泡了一下准备洗，才两三个小时水都变黑了，另一件肉色也整个染掉了。要是穿到身上会不会给我把其他衣服染掉？问了客服说没有问题要质检报告可以给，我是消费者，问题不处理给我质检报告干嘛？,3,1,1616018,75B,深杏色
s****6,一如既往的好,6,5,1616018,75B,黑色
1****1,不错有形,5,5,1616018,80C,黑色
神****姐,好用,5,5,1616018,80B,黑色
y****5,舒适,5,5,1616018,80C,黑色
》****《,很棒！,2,5,1616018,80A,黑色
1****8,满意,3,5,1616018,75B,黑色
a****0,感觉还行,5,5,1616018,75B,黑色
f****g,很好,6,5,1616018,80C,深杏色
L****a,第二次购买,4,5,1616018,80A,黑色
m****5,效果不错,5,5,1616018,75B,黑色
S****.,好的,6,5,1616018,75C,深杏色
1****6,穿着聚拢效果不错，非常舒服，简约款，我喜欢,4,5,1616018,80C,黑色
h****6,好穿，第二件了,5,5,1616018,85C,深杏色
L****啸,试穿后再评,5,5,1616018,85C,黑色
x****0,这个是个胸小的女生，感觉有点硬，舒适度一般。,4,5,1616018,85C,深杏色
v****,我必须为我最爱的严选澄清一下，那些说尺码不对的，害得我也纠结了半天，因为不能退，实在太喜欢了，我就按严选的尺码数据来选，完全没有问题啊，聚拢效果大家自己看，80A的。包装虽然不精品，但是没有任何损坏，我不介意，环保点也挺好。,5,5,1616018,80A,黑色
多****u,好穿,4,5,1616018,75B,黑色
u****s,尺码真的偏小……建议买大一码半至少。比严选其他bra的码都要小一点。材质还可以。,5,5,1616018,85C,黑色
m****7,好，多次购买。,5,5,1616018,80B,黑色
m****5,第二次回购,4,5,1616018,80B,黑色
,质感很好,3,5,1616018,75B,黑色
1****6,很好,3,5,1616018,80C,深杏色
1****5,衣服非常棒，非常合身，聚拢效果也非常好！关键是价格简直太合适！和商场500左右的文胸效果相当。尤其适合较为外扩的胸型，穿衣服也很有型！快递也非常及时！严选值得拥有！,1,5,1616018,80C,深杏色
F****o,希望可以出一款全罩杯的这样的内衣，太好穿了。,5,5,1616018,75C,深杏色
1****2,很满意，很喜欢，很满意,2,5,1616018,80B,黑色
,都很好 内衣很舒服,2,5,1616018,75C,黑色
1****1,手感不错，面料很好,2,5,1616018,85C,深杏色
h****g,媳妇说挺舒服,3,5,1616018,75B,黑色
1****7,满意,2,5,1616018,80C,黑色
嗒****,特别舒服，以前怎么没发现网易有这款内衣呢,5,5,1616018,80C,深杏色
1****3,有点厚，穿起来不太舒服，因为穿过，不能退了。,5,5,1616018,75B,黑色
1****4,很舒服，性价比高，如果有多些颜色选择就更好了,4,5,1616018,75A,黑色
m****5,不错会回购,5,5,1616018,85C,深杏色
q****u,号码偏小,4,5,1616018,80B,黑色
s****L,包装的很好，质量好穿着也好,1,5,1616018,85C,深杏色
m****9,非常赞的内衣,5,5,1616018,75A,黑色
1****6,聚拢效果很好,1,5,1616018,85C,黑色
1****6,聚拢超级好,1,5,1616018,85C,深杏色
笨****,紧致 舒适，不紧绷,3,5,1616018,80C,黑色
林****甜,未及时评价，默认好评,4,5,1616018,75A,黑色
m****8,很好的bra，穿着无束缚，又有型，唯一刚买回来还是有点味道,3,5,1616018,75B,黑色
顽****童,好,6,5,1616018,85C,黑色
风****,好,5,5,1616018,85C,黑色
1****9,高质量，舒服，有型，最爱严选，服务态度也棒棒哒。,3,5,1616018,75C,深杏色
1****9,高质量，舒服，有型，最爱严选，服务态度也棒棒哒。,3,5,1616018,75C,黑色
夏****华,洗了还有一大股类似于胶的味道，不好,3,1,1616018,85B,黑色
L****a,内衣看着质量超好，版型也不错,3,5,1616018,75C,黑色
1****0,好,6,5,1616018,80B,深杏色
c****帝,确实有聚拢效果，很好穿，下围会偏紧点,5,5,1616018,80B,深杏色
1****9,非常好啊  马上回购,1,5,1616018,75C,黑色
1****4,这款内衣穿着超舒服。我也成了严选控了,4,5,1616018,75B,深杏色
陶****,很舒服,2,5,1616018,75A,黑色
史****伟,很好,1,5,1616018,80C,黑色
1****7,很好,6,5,1616018,80B,黑色
♛****,未及时评价，默认好评,5,3,1616018,75B,黑色
晴****,不错，舒服聚拢,4,5,1616018,75B,黑色
武****利,很好,5,5,1616018,75C,黑色
小****,舒适,4,5,1616018,75A,黑色
1****1,不错,4,5,1616018,85C,深杏色
M****y,舒适 有型,5,5,1616018,80A,黑色
杨****燕,特价，加购,4,5,1616018,75B,黑色
1****4,非常好,3,5,1616018,85C,黑色
1****4,非常好,3,5,1616018,85C,深杏色
韩****,很喜欢,4,5,1616018,80B,黑色
1****0,舒服,6,5,1616018,80B,黑色
1****7,好,5,5,1616018,85C,深杏色
瓜****,看评论很聚拢，很舒服，一开始抱着试试的心态，因为买的优衣库的完全不聚拢也不舒服，没想到这个真的聚拢，也很舒服，会回购,3,5,1616018,80B,黑色
h****2,还不错,5,5,1616018,75C,深杏色
F****o,回购,5,5,1616018,75C,黑色
1****3,很好，买第三个了。,6,5,1616018,85C,黑色
1****7,很舒服，质量不错,2,5,1616018,80A,黑色
1****3,回归，好穿,5,5,1616018,75C,黑色
1****5,第二次买了,4,5,1616018,75A,黑色
M****y,还可以,5,5,1616018,75A,黑色
华****l,还行,5,5,1616018,75C,深杏色
1****8,好,3,5,1616018,80A,黑色
1****8,质量真的超级不错👍家人都很喜欢😘,6,5,1616018,80C,深杏色
v****e,感觉不错,2,5,1616018,75C,深杏色
尘****,非常满意！还想再买两个,2,5,1616018,80C,深杏色
z****f,非常舒服,4,5,1616018,80C,黑色
榆****,很好穿 聚拢效果很好,5,5,1616018,75B,黑色
烁****,很舒服 希望质量靠的住,3,5,1616018,80B,黑色
m****1,质量很好，面料舒服,6,5,1616018,75C,深杏色
1****0,非常舒适，第二件了,2,5,1616018,80B,深杏色
1****0,非常满意,5,5,1616018,75A,黑色
b****g,Hao,4,5,1616018,75C,深杏色
m****7,一直信任严选的产品，应该不错！,5,5,1616018,80B,深杏色
小****调,质量超好，非常喜欢，买了好几件了,5,5,1616018,85B,黑色
璐****,好看,3,5,1616018,80B,深杏色
